baseline	range	search_ef	build_seconds	space_usage_bytes	space_usage_source	recall	avg_ms	qps	kpqs	avg_hops	avg_dist_calcs	valid_queries
dsg_static	100	160	1596.520000	2945394324	index_file_bytes	0.004600	0.003141	318400.153851	318.400154	4.220000	4.444000	1000
dsg_static	1000	160	1596.520000	2945394324	index_file_bytes	0.048900	0.017889	55900.436404	55.900436	36.517000	38.493000	1000
dsg_static	10000	160	1596.520000	2945394324	index_file_bytes	0.987500	0.181054	5523.214953	5.523215	165.675000	736.757000	1000
dsg_static	100000	160	1596.520000	2945394324	index_file_bytes	0.998100	0.387688	2579.393194	2.579393	165.184000	1926.891000	1000
dsg_static	1000000	160	1596.520000	2945394324	index_file_bytes	0.997100	0.571174	1750.781140	1.750781	166.120000	2802.395000	1000
