baseline	range	search_ef	build_seconds	space_usage_bytes	space_usage_source	recall	avg_ms	qps	kpqs	avg_hops	avg_dist_calcs	valid_queries
dsg_static	100	160	3819.800000	1516112064	index_file_bytes	0.015500	0.005381	185829.221088	185.829221	4.422000	4.720000	1000
dsg_static	1000	160	3819.800000	1516112064	index_file_bytes	0.318800	0.104097	9606.463352	9.606463	114.291000	148.528000	1000
dsg_static	10000	160	3819.800000	1516112064	index_file_bytes	0.792500	1.271531	786.453256	0.786453	162.638000	2717.537000	1000
dsg_static	100000	160	3819.800000	1516112064	index_file_bytes	0.795500	2.172079	460.388317	0.460388	163.790000	4395.951000	1000
dsg_static	1000000	160	3819.800000	1516112064	index_file_bytes	0.868100	2.918338	342.660731	0.342661	165.652000	5907.517000	1000
